canonical_slug,team_display,conference,source_team,source_conference
abilene-christian,Abilene Christian,WAC,Abilene Christian,WAC
air-force,Air Force,MWC,Air Force,MWC
akron,Akron,MAC,Akron,MAC
alabama,Alabama,SEC,Alabama,SEC
alabama-a-and-m,Alabama A&M,SWAC,Alabama A&M,SWAC
alabama-state,Alabama St.,SWAC,Alabama St.,SWAC
albany,Albany,AE,Albany,AE
alcorn-state,Alcorn St.,SWAC,Alcorn St.,SWAC
american,American,Pat,American,Pat
appalachian-state,Appalachian St.,SB,Appalachian St.,SB
arizona,Arizona,B12,Arizona,B12
arizona-state,Arizona St.,B12,Arizona St.,B12
arkansas,Arkansas,SEC,Arkansas,SEC
arkansas-pine-bluff,Arkansas Pine Bluff,SWAC,Arkansas Pine Bluff,SWAC
arkansas-state,Arkansas St.,SB,Arkansas St.,SB
army-west-point,Army West Point,Pat,Army,Pat
auburn,Auburn,SEC,Auburn,SEC
austin-peay,Austin Peay,ASun,Austin Peay,ASun
ball-state,Ball St.,MAC,Ball St.,MAC
baylor,Baylor,B12,Baylor,B12
bellarmine,Bellarmine,ASun,Bellarmine,ASun
belmont,Belmont,MVC,Belmont,MVC
bethune-cookman,Bethune Cookman,SWAC,Bethune Cookman,SWAC
binghamton,Binghamton,AE,Binghamton,AE
boise-state,Boise St.,MWC,Boise St.,MWC
boston-college,Boston College,ACC,Boston College,ACC
boston-university,Boston University,Pat,Boston University,Pat
bowling-green,Bowling Green,MAC,Bowling Green,MAC
bradley,Bradley,MVC,Bradley,MVC
brown,Brown,Ivy,Brown,Ivy
bryant,Bryant,AE,Bryant,AE
bucknell,Bucknell,Pat,Bucknell,Pat
buffalo,Buffalo,MAC,Buffalo,MAC
butler,Butler,BE,Butler,BE
byu,BYU,B12,BYU,B12
ca-baptist,CA Baptist,WAC,Cal Baptist,WAC
cal-poly,Cal Poly,BW,Cal Poly,BW
cal-state-bakersfield,Cal St. Bakersfield,BW,Cal St. Bakersfield,BW
cal-state-fullerton,Cal St. Fullerton,BW,Cal St. Fullerton,BW
cal-state-northridge,Cal St. Northridge,BW,Cal St. Northridge,BW
california,California,ACC,California,ACC
campbell,Campbell,CAA,Campbell,CAA
canisius,Canisius,MAAC,Canisius,MAAC
central-arkansas,Central Arkansas,ASun,Central Arkansas,ASun
central-connecticut,Central Connecticut,NEC,Central Connecticut,NEC
central-michigan,Central Michigan,MAC,Central Michigan,MAC
charleston,Charleston,CAA,Charleston,CAA
charleston-southern,Charleston Southern,BSth,Charleston Southern,BSth
charlotte,Charlotte,Amer,Charlotte,Amer
chattanooga,Chattanooga,SC,Chattanooga,SC
chicago-state,Chicago St.,NEC,Chicago St.,NEC
cincinnati,Cincinnati,B12,Cincinnati,B12
clemson,Clemson,ACC,Clemson,ACC
cleveland-state,Cleveland St.,Horz,Cleveland St.,Horz
coastal-carolina,Coastal Carolina,SB,Coastal Carolina,SB
colgate,Colgate,Pat,Colgate,Pat
colorado,Colorado,B12,Colorado,B12
colorado-state,Colorado St.,MWC,Colorado St.,MWC
columbia,Columbia,Ivy,Columbia,Ivy
coppin-state,Coppin St.,MEAC,Coppin St.,MEAC
cornell,Cornell,Ivy,Cornell,Ivy
creighton,Creighton,BE,Creighton,BE
dartmouth,Dartmouth,Ivy,Dartmouth,Ivy
davidson,Davidson,A10,Davidson,A10
dayton,Dayton,A10,Dayton,A10
delaware,Delaware,CUSA,Delaware,CUSA
